Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2021","16,238.75","16,659.50","15,492.00","16,320.75","16,320.75","10,934,960"
"Nov 01, 2021","15,885.25","16,767.50","15,768.50","16,150.50","16,150.50","12,452,497"
"Oct 01, 2021","14,702.25","15,864.75","14,367.75","15,838.50","15,838.50","11,176,482"
"Sep 01, 2021","15,599.50","15,708.75","14,670.25","14,682.50","14,682.50","10,753,550"
"Jul 01, 2021","14,558.50","15,134.00","14,445.00","14,955.75","14,955.75","10,543,085"
"Jun 01, 2021","13,699.00","14,598.50","13,462.25","14,549.00","14,549.00","8,250,169"
"May 01, 2021","13,880.25","13,947.50","12,915.00","13,686.50","13,686.50","10,554,306"
"Apr 01, 2021","13,094.50","14,064.00","13,090.25","13,850.00","13,850.00","10,557,753"
"Mar 01, 2021","12,957.50","13,328.25","12,207.25","13,089.75","13,089.75","13,160,708"
"Feb 01, 2021","12,849.00","13,900.50","12,662.25","12,911.00","12,911.00","10,811,597"
"Jan 01, 2021","12,889.00","13,599.75","12,491.25","12,911.25","12,911.25","10,188,559"
"Dec 01, 2020","12,336.00","12,918.25","12,218.25","12,885.50","12,885.50","7,949,444"
"Oct 01, 2020","11,375.00","12,249.00","10,944.50","11,046.25","11,046.25","13,198,308"
"Sep 01, 2020","12,109.75","12,465.25","10,656.50","11,407.25","11,407.25","13,175,609"
"Aug 01, 2020","10,933.25","12,165.00","10,845.50","12,114.00","12,114.00","9,551,690"
"Jul 01, 2020","10,141.00","11,058.50","10,076.00","10,890.50","10,890.50","12,093,981"
"Jun 01, 2020","9,513.00","10,296.25","9,381.75","10,147.25","10,147.25","9,449,858"
"May 01, 2020","8,847.00","9,604.00","8,556.25","9,560.25","9,560.25","9,145,210"
"Apr 01, 2020","7,772.50","9,144.75","7,376.00","8,988.50","8,988.50","9,239,169"
"Feb 01, 2020","8,982.75","9,763.00","8,126.25","8,454.00","8,454.00","15,436,423"
"Jan 01, 2020","8,776.75","9,287.25","8,678.00","8,997.75","8,997.75","12,091,541"
"Nov 01, 2019","8,094.25","8,458.75","8,084.50","8,417.50","8,417.50","6,721,180"
"Oct 01, 2019","7,784.00","8,141.00","7,474.25","8,090.25","8,090.25","9,465,167"
"Aug 01, 2019","7,834.00","8,014.50","7,224.50","7,690.75","7,690.75","13,364,228"
"Jul 01, 2019","7,781.50","8,051.75","7,743.00","7,866.75","7,866.75","7,912,845"
"Jun 01, 2019","7,110.00","7,794.25","6,941.25","7,693.75","7,693.75","7,416,365"
"May 01, 2019","7,848.75","7,872.50","7,129.25","7,133.50","7,133.50","12,790,997"
"Apr 01, 2019","7,430.00","7,879.50","7,428.50","7,800.00","7,800.00","8,150,702"
"Mar 01, 2019","7,106.50","7,544.75","6,939.00","7,400.50","7,400.50","8,762,663"
"Feb 01, 2019","6,911.00","7,168.50","6,841.00","7,102.50","7,102.50","7,694,175"
"Jan 01, 2019","6,349.50","6,943.00","6,136.50","6,914.75","6,914.75","10,834,639"
"Dec 01, 2018","7,041.00","7,139.00","5,820.50","6,333.25","6,333.25","11,001,497"
"Nov 01, 2018","6,960.00","7,231.00","6,449.50","6,949.50","6,949.50","13,051,988"
"Oct 01, 2018","7,672.00","7,728.75","6,580.50","6,975.50","6,975.50","16,641,451"
"Sep 01, 2018","7,670.00","7,693.75","7,393.00","7,655.25","7,655.25","7,205,739"
"Aug 01, 2018","7,293.00","7,697.00","7,214.25","7,661.25","7,661.25","7,572,257"
"Jun 01, 2018","6,982.50","7,358.50","6,956.00","7,066.75","7,066.75","6,813,209"
"May 01, 2018","6,606.00","7,023.50","6,538.00","6,977.00","6,977.00","7,672,062"
"Mar 01, 2018","6,879.50","7,188.50","6,421.00","6,594.00","6,594.00","10,106,929"
"Feb 01, 2018","6,973.00","7,009.00","6,164.00","6,865.00","6,865.00","9,676,883"
"Jan 01, 2018","6,405.00","7,047.25","6,397.75","6,962.50","6,962.50","6,986,062"
"Dec 01, 2017","6,353.75","6,545.75","6,231.75","6,408.75","6,408.75","4,955,564"
"Nov 01, 2017","6,249.75","6,429.50","6,192.50","6,369.00","6,369.00","6,378,892"
"Sep 01, 2017","5,994.00","6,019.75","5,842.00","5,982.50","5,982.50","5,342,154"
"Aug 01, 2017","5,884.50","5,998.00","5,752.25","5,990.75","5,990.75","7,457,583"
"Jul 01, 2017","5,658.00","5,995.75","5,560.25","5,882.50","5,882.50","5,519,190"
"Jun 01, 2017","5,804.75","5,898.75","5,601.00","5,652.75","5,652.75","6,318,642"
"May 01, 2017","5,581.00","5,819.25","5,550.50","5,793.25","5,793.25","5,117,422"
"Apr 01, 2017","5,436.75","5,599.00","5,347.50","5,580.50","5,580.50","4,373,600"
"Mar 01, 2017","5,334.50","5,452.75","5,315.00","5,438.50","5,438.50","4,508,715"
"Feb 01, 2017","5,132.00","5,361.25","5,119.50","5,332.25","5,332.25","3,393,613"
